%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085370728333702,4873,1732085370727973699,map,9.440321437105693,-0.975321901461237,1.4480835343394158,0.0,0.0,0.0,1.0
1732085370827661908,4874,1732085370827563047,map,9.45918616876681,-0.9109222245103422,1.4539996057487306,0.0,0.0,0.0,1.0
1732085370928136973,4875,1732085370927624464,map,9.46591632502411,-0.9018603131869487,1.4798451553091596,0.0,0.0,0.0,1.0
1732085371028287937,4876,1732085371028020620,map,9.495938251285073,-0.8028667074907821,1.4292276374181199,0.0,0.0,0.0,1.0
1732085371127572922,4877,1732085371127434968,map,9.510445387616722,-0.7659845224421894,1.5005810075919985,0.0,0.0,0.0,1.0
1732085371228854371,4878,1732085371228405714,map,9.519923757962557,-0.7140598336944919,1.5776396453175308,0.0,0.0,0.0,1.0
1732085371328369960,4879,1732085371327747106,map,9.526295694905963,-0.7588369292500526,1.750487525131365,0.0,0.0,0.0,1.0
1732085371427628034,4880,1732085371427476167,map,9.592196767427387,-0.5508226309553982,1.684245258291346,0.0,0.0,0.0,1.0
1732085371527759210,4881,1732085371527515649,map,9.654581335458577,-0.317603269997193,1.6392636342723765,0.0,0.0,0.0,1.0
1732085371628020329,4882,1732085371627510070,map,9.704188577809797,-0.039006065049753624,1.5533769363097674,0.0,0.0,0.0,1.0
1732085371728029227,4883,1732085371727586030,map,9.721859570627357,0.09784082869695977,1.536471864271675,0.0,0.0,0.0,1.0
1732085371828267093,4884,1732085371827801227,map,9.739158147909162,0.21337697652616677,1.4732588126777149,0.0,0.0,0.0,1.0
1732085371928089667,4885,1732085371927877902,map,9.759296096108788,0.2954367195247716,1.3879053061199234,0.0,0.0,0.0,1.0
1732085372028426287,4886,1732085372027991533,map,9.783813682554932,0.40730348768790325,1.4077495152244064,0.0,0.0,0.0,1.0
1732085372130428230,4887,1732085372129805564,map,9.80846963071844,0.5569300779309729,1.4341796571691994,0.0,0.0,0.0,1.0
1732085372228908475,4888,1732085372228784561,map,9.820786889238136,0.5722759330121246,1.6533542226667686,0.0,0.0,0.0,1.0
1732085372328455907,4889,1732085372328017711,map,9.838064459195978,0.4902991566540489,1.6298042867221836,0.0,0.0,0.0,1.0
1732085372428936025,4890,1732085372428842782,map,9.851087411467173,0.5476546486371844,1.7935276234990651,0.0,0.0,0.0,1.0
1732085372528284964,4891,1732085372527936935,map,9.889437316248612,0.8577220544142293,1.639562464350588,0.0,0.0,0.0,1.0
1732085372628181257,4892,1732085372628008127,map,9.926227778297443,1.1117908178124725,1.5629142113555414,0.0,0.0,0.0,1.0
1732085372728792812,4893,1732085372728152751,map,9.961401708174488,1.2950178487310768,1.4899866812908569,0.0,0.0,0.0,1.0
1732085372829689111,4894,1732085372829113483,map,9.992940164941075,1.3731267502065354,1.5188555456699417,0.0,0.0,0.0,1.0
1732085372928726277,4895,1732085372928620815,map,10.01547104496849,1.4330945307015006,1.559101312617623,0.0,0.0,0.0,1.0
1732085373028781833,4896,1732085373028362274,map,10.036293496077963,1.5061853009242656,1.5315103267364896,0.0,0.0,0.0,1.0
1732085373128207782,4897,1732085373127919197,map,10.059015447220828,1.5649896070471587,1.495964614561488,0.0,0.0,0.0,1.0
1732085373228167451,4898,1732085373227667570,map,10.071476111494475,1.6941810042934262,1.3793572682055661,0.0,0.0,0.0,1.0
1732085373328165493,4899,1732085373327639579,map,10.087942615268817,1.8114439648101375,1.283411417250806,0.0,0.0,0.0,1.0
1732085373428602658,4900,1732085373428066730,map,10.093736460507744,1.9659425649782527,1.2042236216417401,0.0,0.0,0.0,1.0
1732085373527654600,4901,1732085373527510881,map,10.0989536110759,2.1144558694652305,1.1768863087562336,0.0,0.0,0.0,1.0
1732085373628365315,4902,1732085373627771615,map,10.095207502229636,2.290516700043127,1.1887615208074749,0.0,0.0,0.0,1.0
1732085373728501933,4903,1732085373727997303,map,10.096177146465461,2.450995698881291,1.2244332821670545,0.0,0.0,0.0,1.0
1732085373828158973,4904,1732085373827858209,map,10.106445051828286,2.597463184665241,1.2844214776990897,0.0,0.0,0.0,1.0
1732085373928875807,4905,1732085373928486108,map,10.136150190550131,2.659424857655119,1.3341314773157242,0.0,0.0,0.0,1.0
1732085374028028738,4906,1732085374027747154,map,10.166988447922202,2.7023085563917255,1.362438050179521,0.0,0.0,0.0,1.0
1732085374128862689,4907,1732085374128456115,map,10.20676513570691,2.6986560010971776,1.3422078303943126,0.0,0.0,0.0,1.0
1732085374229053014,4908,1732085374228802442,map,10.219826274250336,2.7911935204399407,1.3054154611693143,0.0,0.0,0.0,1.0
1732085374328098671,4909,1732085374327760219,map,10.241542613413813,2.8660110506980065,1.254696361166662,0.0,0.0,0.0,1.0
1732085374428305196,4910,1732085374428010463,map,10.242296945059818,3.006666265891697,1.2321029394447216,0.0,0.0,0.0,1.0
1732085374528846703,4911,1732085374528270006,map,10.240849599982464,3.1478861347369955,1.2476667147857854,0.0,0.0,0.0,1.0
1732085374628945079,4912,1732085374628740072,map,10.205951448305791,3.365288224561144,1.3481181931413428,0.0,0.0,0.0,1.0
1732085374728906265,4913,1732085374728609800,map,10.157965182731573,3.5864432515506244,1.4418233712985045,0.0,0.0,0.0,1.0
1732085374829566801,4914,1732085374828873395,map,10.13125568520487,3.7440560377761165,1.4939764415215968,0.0,0.0,0.0,1.0
1732085374929741693,4915,1732085374929050683,map,10.122933752915536,3.852201904468531,1.4919356317380157,0.0,0.0,0.0,1.0
1732085375027907168,4916,1732085375027799367,map,10.143112615744702,3.8956055597838843,1.5731499904020478,0.0,0.0,0.0,1.0
1732085375128256999,4917,1732085375128125429,map,10.137487189841696,3.9794205646235414,1.6456629209667901,0.0,0.0,0.0,1.0
1732085375228038895,4918,1732085375227755784,map,10.135192165161246,4.051404896153629,1.6757331321382398,0.0,0.0,0.0,1.0
1732085375327622016,4919,1732085375327530860,map,10.102054559305842,4.160218085102349,1.6298209609084862,0.0,0.0,0.0,1.0
1732085375428056410,4920,1732085375427565813,map,10.062743916771757,4.26159280901584,1.6643268587464837,0.0,0.0,0.0,1.0
1732085375527772443,4921,1732085375527419567,map,10.003101189307312,4.380849535339057,1.7052839226380656,0.0,0.0,0.0,1.0
1732085375628385782,4922,1732085375627834796,map,9.948549691434495,4.482488179997793,1.7281687796764045,0.0,0.0,0.0,1.0
1732085375729324901,4923,1732085375728695631,map,9.924527816510151,4.508696653971154,1.6684116831346978,0.0,0.0,0.0,1.0
